item_id,item_name,current_price,recommended_price,currency,expected_units,expected_profit,profit_uplift_vs_current_%,demand_lift_vs_current_%,competitor_summary,rationale,confidence,flags
SG0001,Reiek Peak Wooden Sunglasses (Incl. cork casing),57.95,42.99,USD,157.05,4501.14,2.95,57.05,"[{'source': 'Amazon', 'url': 'https://example.com', 'matched_title': 'Reiek Peak Wooden Sunglasses (Incl. cork casing)', 'match_score': 0.86, 'effective_price': 53.66, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Walmart', 'url': 'https://example.com', 'matched_title': 'Reiek Peak Wooden Sunglasses (Incl. cork casing)', 'match_score': 0.85, 'effective_price': 48.85, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Target', 'url': 'https://example.com', 'matched_title': 'Reiek Peak Wooden Sunglasses (Incl. cork casing)', 'match_score': 0.96, 'effective_price': 50.62, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'BestBuy', 'url': 'https://example.com', 'matched_title': 'Reiek Peak Wooden Sunglasses (Incl. cork casing)', 'match_score': 0.89, 'effective_price': 63.44, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'eBay', 'url': 'https://example.com', 'matched_title': 'Reiek Peak Wooden Sunglasses (Incl. cork casing)', 'match_score': 0.86, 'effective_price': 59.13, 'currency': 'USD', 'stock': 'in_stock'}]",Price optimized against min competitor 48.85,low,[]
SG0002,Fibonacci Wooden Sunglasses (Incl. cork casing),61.5,42.99,USD,172.67,4921.05,4.11,72.67,"[{'source': 'Amazon', 'url': 'https://example.com', 'matched_title': 'Fibonacci Wooden Sunglasses (Incl. cork casing)', 'match_score': 0.86, 'effective_price': 70.75, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Walmart', 'url': 'https://example.com', 'matched_title': 'Fibonacci Wooden Sunglasses (Incl. cork casing)', 'match_score': 0.98, 'effective_price': 51.37, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Target', 'url': 'https://example.com', 'matched_title': 'Fibonacci Wooden Sunglasses (Incl. cork casing)', 'match_score': 0.82, 'effective_price': 54.84, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'BestBuy', 'url': 'https://example.com', 'matched_title': 'Fibonacci Wooden Sunglasses (Incl. cork casing)', 'match_score': 0.84, 'effective_price': 61.63, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'eBay', 'url': 'https://example.com', 'matched_title': 'Fibonacci Wooden Sunglasses (Incl. cork casing)', 'match_score': 0.84, 'effective_price': 56.55, 'currency': 'USD', 'stock': 'in_stock'}]",Price optimized against min competitor 51.37,low,[]
BT0005,Elephant Falls Thermos Bottle ,31.95,25.99,USD,143.65,2406.97,1.95,43.65,"[{'source': 'Amazon', 'url': 'https://example.com', 'matched_title': 'Elephant Falls Thermos Bottle ', 'match_score': 0.86, 'effective_price': 36.96, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Walmart', 'url': 'https://example.com', 'matched_title': 'Elephant Falls Thermos Bottle ', 'match_score': 0.97, 'effective_price': 34.86, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Target', 'url': 'https://example.com', 'matched_title': 'Elephant Falls Thermos Bottle ', 'match_score': 0.87, 'effective_price': 37.33, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'BestBuy', 'url': 'https://example.com', 'matched_title': 'Elephant Falls Thermos Bottle ', 'match_score': 0.8, 'effective_price': 28.83, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'eBay', 'url': 'https://example.com', 'matched_title': 'Elephant Falls Thermos Bottle ', 'match_score': 0.84, 'effective_price': 33.06, 'currency': 'USD', 'stock': 'in_stock'}]",Price optimized against min competitor 28.83,low,[]
BT0012-13,Saint Elias Thermos bottles,32.95,28.99,USD,127.37,2385.91,0.93,27.37,"[{'source': 'Amazon', 'url': 'https://example.com', 'matched_title': 'Saint Elias Thermos bottles', 'match_score': 0.86, 'effective_price': 38.91, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Walmart', 'url': 'https://example.com', 'matched_title': 'Saint Elias Thermos bottles', 'match_score': 0.94, 'effective_price': 28.49, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Target', 'url': 'https://example.com', 'matched_title': 'Saint Elias Thermos bottles', 'match_score': 0.84, 'effective_price': 29.98, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'BestBuy', 'url': 'https://example.com', 'matched_title': 'Saint Elias Thermos bottles', 'match_score': 0.85, 'effective_price': 38.16, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'eBay', 'url': 'https://example.com', 'matched_title': 'Saint Elias Thermos bottles', 'match_score': 0.88, 'effective_price': 32.61, 'currency': 'USD', 'stock': 'in_stock'}]",Price optimized against min competitor 28.49,low,[]
BT0015-16,Inca Trail Coffee Mugs,31.95,25.99,USD,138.07,2377.21,1.59,38.07,"[{'source': 'Amazon', 'url': 'https://example.com', 'matched_title': 'Inca Trail Coffee Mugs', 'match_score': 0.92, 'effective_price': 34.0, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Walmart', 'url': 'https://example.com', 'matched_title': 'Inca Trail Coffee Mugs', 'match_score': 0.99, 'effective_price': 33.49, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Target', 'url': 'https://example.com', 'matched_title': 'Inca Trail Coffee Mugs', 'match_score': 0.94, 'effective_price': 27.1, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'BestBuy', 'url': 'https://example.com', 'matched_title': 'Inca Trail Coffee Mugs', 'match_score': 0.87, 'effective_price': 29.11, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'eBay', 'url': 'https://example.com', 'matched_title': 'Inca Trail Coffee Mugs', 'match_score': 0.84, 'effective_price': 32.95, 'currency': 'USD', 'stock': 'in_stock'}]",Price optimized against min competitor 27.10,low,[]
PS0007,Woodland Mouse Phone Stand,18.95,9.99,USD,282.84,1828.58,14.72,182.84,"[{'source': 'Amazon', 'url': 'https://example.com', 'matched_title': 'Woodland Mouse Phone Stand', 'match_score': 0.95, 'effective_price': 21.21, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Walmart', 'url': 'https://example.com', 'matched_title': 'Woodland Mouse Phone Stand', 'match_score': 0.9, 'effective_price': 16.58, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Target', 'url': 'https://example.com', 'matched_title': 'Woodland Mouse Phone Stand', 'match_score': 0.84, 'effective_price': 20.17, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'BestBuy', 'url': 'https://example.com', 'matched_title': 'Woodland Mouse Phone Stand', 'match_score': 0.84, 'effective_price': 16.13, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'eBay', 'url': 'https://example.com', 'matched_title': 'Woodland Mouse Phone Stand', 'match_score': 0.9, 'effective_price': 21.07, 'currency': 'USD', 'stock': 'in_stock'}]",Price optimized against min competitor 16.13,low,[]
NB0011-12,Tiger Trail Notebooks,25.95,20.99,USD,142.89,1952.61,1.91,42.89,"[{'source': 'Amazon', 'url': 'https://example.com', 'matched_title': 'Tiger Trail Notebooks', 'match_score': 0.91, 'effective_price': 28.6, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Walmart', 'url': 'https://example.com', 'matched_title': 'Tiger Trail Notebooks', 'match_score': 0.96, 'effective_price': 26.79, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Target', 'url': 'https://example.com', 'matched_title': 'Tiger Trail Notebooks', 'match_score': 0.86, 'effective_price': 22.56, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'BestBuy', 'url': 'https://example.com', 'matched_title': 'Tiger Trail Notebooks', 'match_score': 0.87, 'effective_price': 22.9, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'eBay', 'url': 'https://example.com', 'matched_title': 'Tiger Trail Notebooks', 'match_score': 0.8, 'effective_price': 28.07, 'currency': 'USD', 'stock': 'in_stock'}]",Price optimized against min competitor 22.56,low,[]
NB0013-15,Papillon Notebooks,23.95,15.99,USD,187.82,1976.43,5.47,87.82,"[{'source': 'Amazon', 'url': 'https://example.com', 'matched_title': 'Papillon Notebooks', 'match_score': 0.91, 'effective_price': 22.65, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Walmart', 'url': 'https://example.com', 'matched_title': 'Papillon Notebooks', 'match_score': 0.81, 'effective_price': 19.57, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Target', 'url': 'https://example.com', 'matched_title': 'Papillon Notebooks', 'match_score': 0.9, 'effective_price': 27.57, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'BestBuy', 'url': 'https://example.com', 'matched_title': 'Papillon Notebooks', 'match_score': 0.87, 'effective_price': 24.86, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'eBay', 'url': 'https://example.com', 'matched_title': 'Papillon Notebooks', 'match_score': 0.81, 'effective_price': 23.73, 'currency': 'USD', 'stock': 'in_stock'}]",Price optimized against min competitor 19.57,low,[]
LB0017,Jim Corbett Lunchbox Band 1200ML,32.95,33.99,USD,98.91,1359.2,0.68,-1.09,"[{'source': 'Amazon', 'url': 'https://example.com', 'matched_title': 'Jim Corbett Lunchbox Band 1200ML', 'match_score': 0.87, 'effective_price': 27.66, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Walmart', 'url': 'https://example.com', 'matched_title': 'Jim Corbett Lunchbox Band 1200ML', 'match_score': 0.84, 'effective_price': 29.77, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Target', 'url': 'https://example.com', 'matched_title': 'Jim Corbett Lunchbox Band 1200ML', 'match_score': 0.9, 'effective_price': 32.19, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'BestBuy', 'url': 'https://example.com', 'matched_title': 'Jim Corbett Lunchbox Band 1200ML', 'match_score': 0.9, 'effective_price': 38.44, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'eBay', 'url': 'https://example.com', 'matched_title': 'Jim Corbett Lunchbox Band 1200ML', 'match_score': 0.97, 'effective_price': 29.4, 'currency': 'USD', 'stock': 'in_stock'}]",Price optimized against min competitor 27.66,low,[]
LB0019,Jim Corbett Lunchbox Band 800ML,30.95,22.99,USD,159.88,2405.54,2.98,59.88,"[{'source': 'Amazon', 'url': 'https://example.com', 'matched_title': 'Jim Corbett Lunchbox Band 800ML', 'match_score': 0.89, 'effective_price': 30.79, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Walmart', 'url': 'https://example.com', 'matched_title': 'Jim Corbett Lunchbox Band 800ML', 'match_score': 0.86, 'effective_price': 35.28, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'Target', 'url': 'https://example.com', 'matched_title': 'Jim Corbett Lunchbox Band 800ML', 'match_score': 0.82, 'effective_price': 31.57, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'BestBuy', 'url': 'https://example.com', 'matched_title': 'Jim Corbett Lunchbox Band 800ML', 'match_score': 0.9, 'effective_price': 31.08, 'currency': 'USD', 'stock': 'in_stock'}, {'source': 'eBay', 'url': 'https://example.com', 'matched_title': 'Jim Corbett Lunchbox Band 800ML', 'match_score': 0.8, 'effective_price': 29.14, 'currency': 'USD', 'stock': 'in_stock'}]",Price optimized against min competitor 29.14,low,[]
